subject,melody,note,onset,duration,ioi,pitch,probe,response,time,known,liked,interval,rt,musical,training,playing
1,hymn_007_b,26,25000000,1000000,1000000,71,1,4,27028618,No,3,5,2028.618,FALSE,0,0
1,hymn_022_b,22,21000000,1000000,1000000,75,1,3,23282863,No,4,6,2282.863,FALSE,0,0
1,hymn_025_b,9,8000000,1000000,1000000,75,1,5,13263862,Yes,5,12,5263.862,FALSE,0,0
1,hymn_039_b,21,20000000,1000000,1000000,64,1,2,23370597,No,4,-5,3370.597,FALSE,0,0
1,hymn_047_b,10,9000000,1000000,1000000,71,1,2,10804515,No,4,2,1804.515,FALSE,0,0
1,hymn_054_b,22,21000000,1000000,1000000,76,1,1,23449516,No,2,7,2449.516,FALSE,0,0
1,hymn_073_b,9,8000000,1000000,1000000,75,1,3,10395869,No,3,8,2395.869,FALSE,0,0
1,hymn_081_b,58,57000000,1000000,1000000,74,1,2,59543431,No,3,5,2543.431,FALSE,0,0
1,hymn_119_b,17,16000000,1000000,1000000,66,1,2,21138099,No,1,-1,5138.099,FALSE,0,0
1,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,12698494,No,4,5,4698.494,FALSE,0,0
1,hymn_127_b,46,45000000,1000000,1000000,61,1,1,46543229,Yes,4,-1,1543.229,FALSE,0,0
1,hymn_161_b,13,12000000,1000000,1000000,65,1,6,15850218,No,3,-3,3850.218,FALSE,0,0
1,hymn_163_b,9,8000000,1000000,1000000,74,1,3,9871392,Yes,4,8,1871.392,FALSE,0,0
1,hymn_190_b,41,40000000,1000000,1000000,72,1,4,41756012,No,2,5,1756.012,FALSE,0,0
1,hymn_213_b,21,20000000,1000000,1000000,68,1,4,25024704,No,4,-4,5024.704,FALSE,0,0
1,hymn_233_b,18,17000000,1000000,1000000,75,1,1,19676735,No,2,7,2676.735,FALSE,0,0
1,hymn_267_b,53,52000000,1000000,1000000,68,1,4,54652201,No,3,-7,2652.201,FALSE,0,0
1,hymn_273_b,9,8000000,1000000,1000000,64,1,1,10265433,No,5,-7,2265.433,FALSE,0,0
1,hymn_291_b,14,13000000,1000000,1000000,71,1,2,16129350,No,3,-1,3129.35,FALSE,0,0
1,hymn_295_b,11,10000000,1000000,1000000,71,1,6,15252598,No,2,-5,5252.598,FALSE,0,0
1,hymn_311_b,21,20000000,1000000,1000000,74,1,1,21321417,No,5,3,1321.417,FALSE,0,0
