melody_id,filename,path,pitch,tonic_pc
0,island02.krn,data/essen_copy/europa/misc/island02.krn,"[69, 71, 72, 71, 69, 68, 69, 71, 72, 71, 71, 71, 72, 74, 76, 74, 72, 72, 72, 74, 76, 76, 74, 74, 72, 71, 69, 71, 72, 71, 69, 72, 72, 69, 69, 69, 71, 72, 74, 74, 74, 72, 71]",9.0
1,steier01.krn,data/essen_copy/europa/misc/steier01.krn,"[62, 71, 62, 67, 71, 74, 76, 74, 62, 71, 74, 79, 71, 74, 74, 72, 62, 66, 69, 74, 72, 71, 74, 67, 71, 69, 66, 62, 72, 71, 69, 67, 74, 76, 74, 72, 81, 81, 74, 76, 74, 71, 83, 83, 74, 76, 74, 74, 84, 81, 78, 74, 78, 79]",7.0
2,norge02.krn,data/essen_copy/europa/misc/norge02.krn,"[67, 70, 74, 74, 72, 72, 74, 70, 70, 69, 67, 67, 70, 74, 74, 74, 72, 70, 72, 74, 75, 77, 77, 74, 75, 75, 74, 74, 72, 72, 72, 74, 70, 69, 67, 67, 69, 67, 66, 66, 67]",7.0
3,island01.krn,data/essen_copy/europa/misc/island01.krn,"[72, 72, 72, 72, 72, 72, 71, 69, 67, 67, 67, 67, 67, 70, 69, 72, 72, 72, 72, 72, 71, 69, 67, 67, 67, 67, 69, 69, 70, 67, 70, 70, 67, 67, 69, 69, 72, 72, 72, 71, 69]",7.0
4,ellas01.krn,data/essen_copy/europa/misc/ellas01.krn,"[72, 72, 67, 65, 67, 68, 71, 68, 67, 67, 67, 68, 68, 65, 67, 68, 71, 68, 65, 67, 67, 67, 68, 68, 65, 67, 68, 71, 68, 65, 67, 67]",7.0
5,steier03.krn,data/essen_copy/europa/misc/steier03.krn,"[63, 62, 65, 68, 74, 77, 79, 75, 70, 72, 70, 68, 68, 68, 62, 63, 67, 58, 63, 62, 65, 68, 74, 77, 79, 75, 70, 72, 70, 68, 68, 68, 62, 63]",3.0
6,steier02.krn,data/essen_copy/europa/misc/steier02.krn,"[64, 65, 67, 76, 76, 74, 72, 64, 65, 62, 62, 62, 64, 65, 74, 74, 72, 71, 62, 64, 59, 60, 64, 65, 67, 76, 76, 74, 72, 64, 65, 62, 62, 62, 64, 65, 77, 77, 76, 74, 59, 60]",0.0
7,norge01.krn,data/essen_copy/europa/misc/norge01.krn,"[69, 69, 69, 67, 69, 74, 74, 72, 69, 69, 72, 70, 69, 67, 65, 67, 69, 69, 74, 74, 72, 69, 70, 69, 67, 64, 65, 69, 72, 70, 69, 67, 65, 64, 62, 62]",2.0
8,steier06.krn,data/essen_copy/europa/misc/steier06.krn,"[65, 69, 60, 65, 69, 72, 70, 60, 64, 60, 64, 67, 70, 74, 74, 72, 69, 65, 65, 69, 60, 65, 69, 72, 70, 60, 64, 64, 76, 72, 72, 64, 65]",5.0
9,emmenth1.krn,data/essen_copy/europa/misc/emmenth1.krn,"[71, 72, 74, 72, 71, 71, 67, 69, 69, 71, 72, 74, 74, 73, 74, 71, 69, 67, 69, 69, 67, 66, 62, 67, 69, 71, 67, 71, 72, 74, 72, 71, 69, 67, 74, 76, 73, 74, 76, 73, 74, 76, 73, 74, 67, 79]",7.0
10,steier07.krn,data/essen_copy/europa/misc/steier07.krn,"[69, 71, 69, 69, 67, 66, 74, 74, 66, 66, 64, 64, 67, 67, 64, 66, 66, 74, 74, 66, 69, 67, 67, 61, 62, 64, 66, 64, 67, 64, 66, 66, 74, 74, 66, 69, 67, 67, 61, 62]",2.0
11,steier05.krn,data/essen_copy/europa/misc/steier05.krn,"[63, 65, 63, 62, 63, 65, 62, 63, 67, 70, 63, 72, 70, 69, 70, 72, 69, 70, 74, 77, 70, 70, 80, 77, 70, 70, 79, 75, 67, 72, 68, 67, 68, 62, 63]",3.0
