melody_id,mean_ic,melody_name
0,2.5606558,NLB177881_01
1,2.401356,NLB073485_01
2,2.9618213,NLB191040_01
3,3.490025,NLB135827_01
4,4.2942095,NLB196963_01
5,2.3959458,NLB076099_01
6,3.9891531,NLB152689_01
7,2.4386892,NLB133362_01
8,2.4464223,NLB075891_01
9,2.078722,NLB073632_01
10,2.5801718,NLB072305_01
11,2.5942016,NLB175709_01
12,2.8310466,NLB127442_01
13,2.7434332,NLB074840_01
14,4.403047,NLB182912_01
15,3.1005101,NLB150901_01
16,2.0412471,NLB170315_01
17,2.610242,NLB139529_02
18,2.1829393,NLB076199_01
19,2.8047287,NLB144870_01
20,2.1514323,NLB128271_01
21,3.1498435,NLB129746_01
22,1.9836613,NLB073585_01
23,2.554355,NLB142464_01
24,4.0250454,NLB179932_01
25,2.6295526,NLB191140_01
26,2.0534425,NLB013559_01
27,2.6063402,NLB074940_01
28,3.3004854,NLB182812_01
29,2.4892254,NLB170215_01
30,2.4644272,NLB150801_01
31,2.247196,NLB123338_01
32,1.9278555,NLB072554_01
33,2.6528227,NLB196776_01
34,2.6605873,NLB129853_01
35,2.1302853,NLB075684_01
36,2.2707963,NLB075706_02
37,2.638276,NLB177694_01
38,2.574934,NLB188379_01
39,3.4366894,NLB178310_01
40,3.0787845,NLB188428_01
41,3.3935297,NLB199714_01
42,3.2599618,NLB128882_01
43,3.2197635,NLB125039_01
44,3.0070882,NLB002970_01
45,3.1625001,NLB151572_01
46,2.2851477,NLB075362_01
47,2.8147507,NLB183230_01
48,3.1002731,NLB130099_01
49,2.3953917,NLB074104_01
50,3.1246567,NLB151223_01
51,3.2713566,NLB182056_01
52,2.3060935,NLB075433_01
53,3.2622144,NLB125768_01
54,3.5563245,NLB185975_01
55,2.2824564,NLB177423_01
56,2.0272152,NLB139909_01
57,3.6006062,NLB177372_01
58,3.5252545,NLB179490_01
59,2.9059446,NLB135063_01
60,3.328815,NLB177794_01
61,3.268216,NLB178210_01
62,2.1472623,NLB135732_01
63,2.4042046,NLB198194_01
64,3.1053853,NLB196676_01
65,2.671461,NLB183187_01
66,2.6910415,NLB015009_01
67,3.1935074,NLB151194_01
68,3.1781669,NLB145352_01
69,2.138395,NLB144665_01
70,2.5407634,NLB129953_01
71,2.1692271,NLB167328_01
72,2.5394323,NLB179590_01
73,2.1223655,NLB004464_01
74,3.019264,NLB135585_01
75,2.586471,NLB177272_01
76,2.6309044,NLB125139_01
77,1.8626666,NLB075262_01
78,2.9438477,NLB151472_01
79,2.6053984,NLB183330_01
80,2.624026,NLB150145_01
81,2.8483481,NLB074755_01
82,2.0257895,NLB183461_01
83,1.914584,NLB074004_01
84,2.6107345,NLB151323_01
85,2.6397598,NLB137565_01
86,3.366792,NLB136703_01
87,2.6977696,NLB111434_01
88,3.0442367,NLB138507_01
89,2.4163377,NLB072378_01
90,2.9143953,NLB123245_01
91,2.2631893,NLB013693_01
92,2.5952997,NLB152443_01
93,2.1161842,NLB076253_01
94,3.804648,NLB181167_01
95,2.4266446,NLB076502_01
96,3.0150485,NLB147005_01
97,2.400207,NLB146532_01
98,3.1976864,NLB152543_01
99,2.987516,NLB180550_01
100,2.1175854,NLB076402_01
101,2.0101473,NLB170268_01
102,2.9271953,NLB148736_01
103,2.3131778,NLB072278_01
104,4.0532327,NLB175674_01
105,2.6539493,NLB112229_01
106,2.5134811,NLB071083_01
107,2.659637,NLB141455_01
108,2.7960548,NLB188455_01
109,2.2629843,NLB134378_01
110,2.2891288,NLB124573_01
111,3.2635627,NLB125044_01
112,1.9284756,NLB074628_01
113,2.3967354,NLB166284_01
114,2.0906296,NLB074179_01
115,2.9660757,NLB176169_01
116,2.2414548,NLB070703_01
117,2.748774,NLB192497_01
118,2.6098316,NLB140484_01
119,2.4091506,NLB070052_01
120,2.4487896,NLB071183_01
121,3.3014235,NLB140062_01
122,2.893336,NLB192071_01
123,2.930108,NLB167404_01
124,2.7569377,NLB167355_01
125,2.4808838,NLB176069_01
126,2.3911343,NLB175861_01
127,2.4347637,NLB176738_01
128,2.3035483,NLB004419_01
129,2.4319208,NLB140584_01
130,2.3355088,NLB070152_01
131,2.7791924,NLB125144_01
132,3.3671253,NLB146990_01
133,2.521377,NLB074728_01
134,2.0548024,NLB015592_01
135,2.0805392,NLB074079_01
136,3.5457497,NLB125615_01
137,2.5709002,NLB124241_01
138,3.2369726,NLB182048_01
139,2.2519884,NLB071257_01
140,2.7392483,NLB175902_01
141,2.6965685,NLB149891_01
142,2.8164415,NLB196768_01
143,2.0271068,NLB075718_02
144,2.9129317,NLB188436_01
145,2.9051437,NLB070286_01
146,3.5514402,NLB192112_01
147,2.538039,NLB073939_01
148,2.1717868,NLB102541_01
149,2.385889,NLB074198_02
150,2.318563,NLB139817_01
151,2.4063158,NLB070131_01
152,2.0656602,NLB125676_01
153,3.4113967,NLB136875_01
154,3.3189912,NLB192012_01
155,2.6079211,NLB183199_01
156,2.9243577,NLB196668_01
157,2.7581143,NLB125390_01
158,2.8327646,NLB166150_01
159,2.4548783,NLB167336_01
160,2.8390024,NLB015017_01
161,2.3770115,NLB180991_01
162,3.115363,NLB141894_01
163,3.1314507,NLB175717_01
164,3.4253626,NLB180362_01
165,2.4637132,NLB076230_01
166,2.5280957,NLB152371_01
167,3.4401278,NLB180433_01
168,3.1897035,NLB138082_01
169,2.516799,NLB111457_01
170,3.0607665,NLB166914_01
171,1.854462,NLB148004_01
172,2.4637527,NLB076330_01
173,2.9767756,NLB152520_01
174,2.336793,NLB014982_01
175,2.7602608,NLB152271_01
176,2.9751327,NLB180533_01
177,2.1374352,NLB141994_01
178,2.646455,NLB138464_01
179,3.2535355,NLB175617_01
