melody_id,mean_ic,melody_name
0,1.8899512,island02
1,3.3502114,steier01
2,2.3696718,norge02
3,2.331374,island01
4,3.5528207,ellas01
5,3.9834802,steier03
6,3.254543,steier02
7,2.1204526,norge01
8,3.7401667,steier06
9,2.4784355,emmenth1
10,3.4053102,steier07
11,3.6448183,steier05
12,3.3764143,steier11
13,2.507586,emmenth2
14,4.281579,steier10
15,4.2785573,steier04
16,3.10969,entlebug
17,2.6285696,oberhas2
18,2.398223,eire01
19,2.6056364,oberhas1
20,2.619774,brabant1
21,2.4245555,siebethl
22,2.2857637,suomi01
23,2.8265953,vlaandr1
24,2.5710084,vlaandr2
25,4.12404,steier09
26,3.7477734,steier08
27,3.0173156,appenzel
28,2.1115036,juedisch
29,2.2185485,belgium1
30,2.2420142,deut5150
31,2.6043203,deut5151
32,2.887656,deut5147
33,2.0896974,deut5153
34,2.6337798,deut5157
35,2.0803266,deut4306
36,2.1009903,deut4312
37,2.121497,deut4138
38,1.8442152,deut4104
39,2.509086,deut4110
40,2.5414705,deut4272
41,2.1170828,deut4266
42,2.0554085,deut4299
43,2.3039045,deut4298
44,2.1851115,deut4267
45,2.0326495,deut4273
46,2.5303218,deut4111
47,2.2335727,deut4105
48,1.9835256,deut4139
49,2.229365,deut4313
50,2.0856586,deut4307
51,1.845725,deut4339
52,1.7994676,deut4311
53,2.159531,deut4305
54,2.003188,deut4113
55,2.5639713,deut4107
56,2.0687237,deut4098
57,2.7863493,deut4259
58,2.1608953,deut4265
59,2.1369193,deut4271
60,2.2316334,deut4270
61,1.9776549,deut4264
62,2.2718651,deut4258
63,2.0606174,deut4099
64,2.208755,deut4106
65,2.1357584,deut4112
66,2.3590496,deut4304
67,1.7994676,deut4310
68,2.1674564,deut4338
69,2.2860808,deut4314
70,2.131807,deut4300
71,2.1368883,deut4328
72,2.3029618,deut4116
73,2.4051201,deut4102
74,2.24916,deut4089
75,2.4921618,deut4260
76,2.049046,deut4274
77,3.0032778,deut4248
78,2.1846278,deut4249
79,2.917051,deut4275
80,2.5769818,deut4261
81,2.6471236,deut4088
82,2.6535504,deut4103
83,2.1970696,deut4117
84,2.2031128,deut4329
85,2.3924227,deut4301
86,2.006781,deut4315
87,2.6598349,deut4303
88,2.396997,deut4317
89,2.2912438,deut4101
90,1.9605459,deut4115
91,2.1202235,deut4129
92,2.8458018,deut4277
93,2.2160642,deut4263
94,2.5173907,deut4288
95,2.009154,deut4289
96,2.7550924,deut4262
97,2.8313277,deut4276
98,2.081785,deut4128
99,2.352584,deut4114
100,2.0351532,deut4100
101,2.310583,deut4316
102,2.3933425,deut4302
103,2.683987,deut4359
104,2.389908,deut4365
105,2.6119888,deut4371
106,2.0445094,deut4167
107,2.3711843,deut4173
108,2.6516943,deut4198
109,2.0589297,deut4239
110,1.962199,deut4211
111,3.1329906,deut4205
112,2.2456024,deut4204
113,1.9429497,deut4210
114,2.586474,deut4238
115,2.1813927,deut4199
116,2.0394075,deut4172
117,2.4477847,deut4166
118,2.2603378,deut4370
119,2.1184692,deut4364
120,2.3925464,deut4358
121,2.3514917,deut4372
122,2.603678,deut4366
123,2.3057625,deut4158
124,2.10601,deut4170
125,2.5521483,deut4164
126,2.3017344,deut4206
127,2.289944,deut4212
128,2.3988435,deut4213
129,1.4790705,deut4207
130,1.7623074,deut4165
131,2.262602,deut4171
132,2.6778877,deut4159
133,2.3767805,deut4367
134,2.6292253,deut4373
135,2.1219013,deut4377
136,2.3460228,deut4363
137,2.0541937,deut4388
138,2.18066,deut4175
139,2.259723,deut4161
140,2.1281412,deut4149
141,2.9892452,deut4203
142,2.3021612,deut4217
143,1.8132037,deut4216
144,2.6689713,deut4202
145,2.1344893,deut4148
146,2.626281,deut4160
147,2.1672163,deut4174
148,2.0839128,deut4389
149,2.007008,deut4362
150,2.0744276,deut4376
151,2.1502712,deut4360
152,2.6156244,deut4374
153,2.2000878,deut4348
154,2.221546,deut4162
155,2.4328325,deut4176
156,2.0436137,deut4189
157,2.0665743,deut4214
158,2.0264034,deut4200
159,2.187583,deut4228
160,1.9180866,deut4229
161,2.0374203,deut4201
162,2.5012033,deut4215
163,2.3506198,deut4188
164,2.1188266,deut4177
165,2.0149837,deut4163
166,1.9902416,deut4349
167,2.6510084,deut4375
168,2.4799802,deut4361
169,1.9748065,deut4378
170,1.9427292,deut4344
171,2.533229,deut4350
172,2.162053,deut4387
173,2.8301675,deut4393
174,2.2549636,deut4146
175,1.9052341,deut4152
176,2.8229487,deut4185
177,2.181197,deut4191
178,2.269863,deut4218
179,2.0204635,deut4230
180,2.0315905,deut4224
181,2.6239061,deut4225
182,2.2762647,deut4231
183,2.0155077,deut4219
184,1.9383821,deut4190
185,2.1262066,deut4184
186,2.0539315,deut4153
187,2.168598,deut4147
188,2.3093913,deut4392
189,2.0742009,deut4386
190,2.0270216,deut4351
191,2.2971263,deut4345
192,2.093332,deut4379
193,2.384286,deut4353
194,2.6786828,deut4347
195,1.9301815,deut4390
196,2.3622355,deut4384
197,2.2860885,deut4179
198,2.0805345,deut4151
199,2.2422264,deut4145
200,2.3686767,deut4192
201,2.0940905,deut4186
202,1.939154,deut4227
203,2.3061814,deut4233
204,2.2338662,deut4232
205,2.4825013,deut4226
206,2.2609313,deut4187
207,2.723965,deut4193
208,2.3912368,deut4144
209,1.933477,deut4150
210,2.4966667,deut4178
211,2.6272573,deut4385
212,2.4906528,deut4391
213,2.439545,deut4346
214,2.597328,deut4352
215,2.6827195,deut4356
216,2.4945872,deut4342
217,2.1466823,deut4395
218,2.5303218,deut4381
219,2.1415482,deut4154
220,2.0903897,deut4140
221,2.3933425,deut4168
222,2.3373108,deut4197
223,1.9901196,deut4183
224,3.262234,deut4222
