melody_idx,mean_ic,n_notes,melody_id
0,2.6262608,93,0
1,2.3599832,65,1
2,3.0680163,48,2
3,3.5142567,43,3
4,4.433294,80,4
5,2.3773298,34,5
6,3.6945136,109,6
7,2.4449487,88,7
8,2.0535579,199,8
9,2.200135,54,9
10,2.3364918,46,10
11,2.6909225,68,11
12,2.7575378,68,12
13,2.7119477,35,13
14,4.030303,219,14
15,3.1112883,156,15
16,2.1934142,57,16
17,2.6624002,29,17
18,2.4228332,97,18
19,2.7333422,67,19
20,2.2489533,59,20
21,3.0044398,97,21
22,2.0300887,87,22
23,2.2476537,91,23
24,4.0063148,67,24
25,3.0062184,72,25
26,2.0670102,81,26
27,2.7387106,52,27
28,3.1586995,112,28
29,2.3720355,27,29
30,2.2368603,21,30
31,2.3071725,78,31
32,2.1270893,29,32
33,2.5577633,90,33
34,2.536649,90,34
35,1.977476,38,35
36,2.3795154,28,36
37,2.3872774,63,37
38,2.4112298,88,38
39,3.0694363,160,39
40,2.826175,99,40
41,3.5760908,55,41
42,3.2494004,58,42
43,2.8718095,60,43
44,3.065241,31,44
45,3.0263004,62,45
46,2.1765618,106,46
47,2.7883675,84,47
48,3.1635795,62,48
49,2.5876622,36,49
50,3.0951583,75,50
51,2.9629414,118,51
52,2.3233607,84,52
53,3.2349057,70,53
54,3.8656273,94,54
55,2.2479708,52,55
56,2.019175,37,56
57,3.396806,120,57
58,3.3631322,190,58
59,3.0245707,61,59
60,3.1624882,117,60
61,3.4806585,55,61
62,2.2458124,44,62
63,2.5235307,68,63
64,2.783499,59,64
65,3.0466042,76,65
66,2.750906,69,66
67,3.2051687,132,67
68,3.306144,95,68
69,2.1974075,51,69
70,2.5510323,50,70
71,2.0527923,70,71
72,2.5915525,88,72
73,2.1486313,38,73
74,2.5826447,40,74
75,2.5763113,56,75
76,2.6844637,92,76
77,2.244327,26,77
78,3.0091975,69,78
79,2.5886943,83,79
80,2.5727956,58,80
81,2.8606093,58,81
82,1.9745758,51,82
83,2.0511382,41,83
84,2.3758476,68,84
85,3.0973694,38,85
86,3.062611,84,86
87,2.847573,83,87
88,2.8989222,186,88
89,2.2748027,34,89
90,2.8804345,65,90
91,2.2849064,97,91
92,2.6124501,55,92
93,2.0031135,43,93
94,3.423372,131,94
95,2.5027618,27,95
96,3.1439435,45,96
97,2.4198663,85,97
98,3.1311023,35,98
99,3.106165,59,99
100,2.355269,80,100
101,2.0663161,26,101
102,2.8070035,151,102
103,2.3186734,56,103
104,3.8932786,82,104
105,2.540449,48,105
106,2.7941372,77,106
107,2.8591995,42,107
108,2.9083476,52,108
109,2.045088,39,109
110,2.4390554,50,110
111,3.4444592,119,111
112,1.8115852,93,112
113,2.4125798,69,113
114,2.0293741,36,114
115,2.8769367,65,115
116,2.3718681,22,116
117,2.8085988,57,117
118,2.5361528,60,118
119,2.5445547,46,119
120,2.4519498,26,120
121,3.3756592,31,121
122,3.05367,62,122
123,2.8888588,59,123
124,2.4643717,103,124
125,2.6211824,39,125
126,2.600001,54,126
127,2.4255502,69,127
128,2.5399182,47,128
129,2.487298,24,129
130,2.525034,121,130
131,2.7097397,135,131
132,3.681266,49,132
133,2.632514,110,133
134,2.0068464,38,134
135,1.9852817,98,135
136,3.1324086,196,136
137,2.7290409,87,137
138,3.2075717,96,138
139,2.3562794,49,139
140,2.6259928,100,140
141,2.4047325,57,141
142,2.6515088,91,142
143,2.0737398,61,143
144,2.8257997,85,144
145,2.938792,31,145
146,2.9540553,173,146
147,2.4175684,72,147
148,2.2192836,64,148
149,2.4661567,62,149
150,2.3372207,57,150
151,2.5793018,40,151
152,1.9273182,63,152
153,3.5560405,117,153
154,3.2730384,34,154
155,2.673653,49,155
156,2.8471413,68,156
157,2.9551039,67,157
158,2.8527212,93,158
159,2.4499853,95,159
160,2.655817,134,160
161,2.8488698,28,161
162,3.1422856,79,162
163,2.8555849,63,163
164,2.9599035,116,164
165,2.1627991,52,165
166,2.52179,69,166
167,3.4216907,80,167
168,2.8262393,75,168
169,2.8107183,36,169
170,2.888754,137,170
171,2.1136472,25,171
172,2.7594202,52,172
173,2.9001834,57,173
174,2.3779588,68,174
175,2.6255255,55,175
176,2.9684877,70,176
177,2.2716537,80,177
178,2.7110002,59,178
179,3.5792656,47,179
180,2.5771685,52,180
181,2.7529805,71,181
182,3.2469213,105,182
183,2.696599,67,183
184,3.1757154,63,184
185,2.3057387,38,185
186,3.0285077,62,186
187,3.2574196,82,187
188,2.9897492,40,188
189,2.2563138,43,189
190,3.7922266,78,190
191,3.084272,59,191
192,3.496604,44,192
193,2.936009,49,193
194,2.154258,34,194
195,2.9030821,44,195
196,3.1141515,41,196
197,2.6064937,42,197
198,3.2220883,110,198
199,2.2887201,44,199
200,3.0775294,89,200
201,2.1977296,69,201
202,2.9529495,143,202
203,2.2590482,75,203
204,4.008352,24,204
205,2.2347033,71,205
206,2.9134862,83,206
207,3.6112802,204,207
208,1.6997943,32,208
209,2.3412447,63,209
210,3.329774,73,210
211,3.335507,64,211
212,3.4482532,51,212
213,3.0485177,53,213
214,2.5986128,125,214
215,2.0705307,53,215
216,2.9923828,77,216
217,2.4290643,58,217
218,3.186878,158,218
219,3.1828363,71,219
220,2.332239,81,220
221,3.3004017,72,221
222,3.4876575,481,222
223,2.4233088,83,223
224,2.8884058,124,224
225,2.7980464,55,225
226,2.4282224,70,226
227,2.4871087,35,227
228,3.4860082,79,228
229,3.546894,102,229
230,2.528697,73,230
231,2.549861,94,231
232,2.7294486,57,232
233,2.0273268,86,233
234,2.511308,78,234
235,2.383445,57,235
236,2.4947743,57,236
237,2.4511116,97,237
238,2.3396518,84,238
239,2.1929405,29,239
240,2.6759546,174,240
241,3.0295787,120,241
242,2.5662124,37,242
243,3.4690976,71,243
244,2.6005633,81,244
245,3.0318184,51,245
246,2.5872703,92,246
247,2.3301673,110,247
248,3.02161,85,248
249,2.4531932,60,249
250,2.9915235,48,250
251,2.4356194,115,251
252,2.9319296,82,252
253,1.9847907,54,253
254,2.6708095,164,254
255,2.5043097,49,255
256,2.6040711,58,256
257,2.2078776,48,257
258,2.575752,104,258
259,2.7450535,57,259
260,2.2657807,75,260
261,3.249898,74,261
262,2.509516,41,262
263,2.9582036,51,263
264,2.6221216,72,264
265,2.4109235,41,265
266,2.0882754,68,266
267,3.0272865,45,267
268,2.679275,61,268
269,3.0577664,140,269
270,2.54462,71,270
271,3.0124104,58,271
272,2.3348415,45,272
273,2.2069504,103,273
274,2.9471922,65,274
275,2.369451,58,275
276,3.2073188,71,276
277,2.6619294,53,277
278,2.050114,27,278
279,2.3250659,44,279
280,3.0820856,260,280
281,2.913045,104,281
282,2.5767937,106,282
283,2.6995504,55,283
284,3.4512815,42,284
285,3.3117766,80,285
286,2.8439093,46,286
287,2.2869349,57,287
288,2.1111834,79,288
289,2.8605998,208,289
290,2.2012904,44,290
291,3.2403004,27,291
292,2.8843436,22,292
293,3.3286934,96,293
294,2.1356952,46,294
295,1.9048178,72,295
296,2.0004675,50,296
297,3.315762,108,297
298,2.2438111,75,298
299,2.3306177,80,299
300,3.3624508,54,300
301,2.206681,109,301
302,3.0684166,74,302
303,2.384858,51,303
304,2.3191178,43,304
305,3.7361221,113,305
306,2.511842,71,306
307,2.2445362,59,307
308,1.8794014,43,308
309,2.0986326,95,309
310,3.0840137,59,310
311,2.1965308,66,311
312,3.0122163,81,312
313,2.3683095,21,313
314,2.7205794,63,314
315,2.2556777,73,315
316,2.2155719,83,316
317,2.5244908,69,317
318,3.286291,93,318
319,2.90303,104,319
320,2.394676,52,320
321,2.585853,117,321
322,2.5747526,65,322
323,2.884013,59,323
324,2.871703,54,324
325,2.1189523,49,325
326,2.3342206,54,326
327,4.499578,73,327
328,3.0155602,61,328
329,2.3984222,52,329
330,4.150811,75,330
331,2.0206182,79,331
332,3.351939,108,332
333,3.082562,90,333
334,2.6380978,68,334
335,2.1296906,39,335
336,3.0433981,117,336
337,3.0013564,53,337
338,2.391289,94,338
339,2.4639287,121,339
340,1.8920603,32,340
341,2.387925,151,341
342,2.942111,106,342
343,2.3787093,54,343
344,2.6047637,118,344
345,2.056452,48,345
346,3.413047,67,346
347,2.907257,39,347
348,3.3880758,52,348
349,1.9329997,97,349
350,2.306374,30,350
351,2.8682482,57,351
352,2.6755054,80,352
353,2.6582572,66,353
354,2.8807032,84,354
355,2.3780487,46,355
356,2.1598694,50,356
357,2.9932795,44,357
358,2.689567,38,358
359,1.8982344,54,359
360,2.4148114,53,360
361,2.155806,49,361
362,2.7973669,85,362
363,2.4882936,36,363
364,3.2251058,42,364
365,1.9737338,65,365
366,3.2641635,47,366
367,2.7375205,119,367
368,2.8774824,73,368
369,2.8068507,36,369
370,2.219781,49,370
371,2.3950255,39,371
372,3.2186923,38,372
373,2.8683033,108,373
374,2.822296,102,374
375,2.573542,76,375
376,1.9952126,105,376
377,2.3870423,62,377
378,2.218408,101,378
379,2.478798,75,379
380,2.9179952,91,380
381,3.0605223,66,381
382,2.4837139,59,382
383,2.453668,88,383
384,3.500123,46,384
385,2.9418278,58,385
386,3.2563295,54,386
387,3.326618,65,387
388,2.8148468,68,388
389,1.8069277,37,389
390,2.516952,68,390
391,2.2880626,72,391
392,3.2438338,94,392
393,2.071117,80,393
394,2.1440115,87,394
395,2.031857,63,395
396,3.0214362,66,396
397,2.8101413,220,397
398,2.8784618,78,398
399,2.2807996,47,399
400,2.5829976,28,400
401,2.4537501,31,401
402,2.6926293,83,402
403,3.184059,113,403
404,2.4596207,58,404
