melody_idx,mean_ic,n_notes,melody_id
0,2.0483577,42,0
1,3.3059556,53,1
2,2.7139425,40,2
3,2.6574838,40,3
4,3.2336075,31,4
5,3.8826332,33,5
6,3.579272,41,6
7,2.4057043,35,7
8,3.842025,32,8
9,2.394882,45,9
10,3.6181078,39,10
11,3.7681646,34,11
12,3.5150435,135,12
13,3.1822987,39,13
14,4.4325743,71,14
15,3.382625,25,15
16,3.0736148,85,16
17,2.6914523,65,17
18,2.4052253,75,18
19,2.8616476,115,19
20,2.7387066,23,20
21,2.5848475,146,21
22,2.3735178,44,22
23,2.998552,55,23
24,2.8227026,88,24
25,4.349768,125,25
26,4.0076485,75,26
27,2.9750595,142,27
28,2.2248685,33,28
29,2.4580402,51,29
30,2.4800825,63,30
31,2.4301007,48,31
32,3.2047598,30,32
33,2.393668,48,33
34,2.6521304,51,34
35,2.166427,51,35
36,2.2810245,42,36
37,2.103015,82,37
38,1.7778352,20,38
39,2.442817,49,39
40,2.652634,41,40
41,2.2778363,35,41
42,2.154314,111,42
43,2.4732664,38,43
44,2.367335,28,44
45,2.6006997,49,45
46,2.8630953,60,46
47,2.4859455,52,47
48,2.1845708,69,48
49,2.307222,39,49
50,2.324619,31,50
51,1.8948401,29,51
52,1.9267578,32,52
53,2.3332202,40,53
54,2.2421715,61,54
55,2.8196445,77,55
56,2.3466883,51,56
57,2.863567,32,57
58,2.356038,41,58
59,2.3682005,47,59
60,2.428041,53,60
61,1.9647517,31,61
62,2.5016146,51,62
63,2.1108427,57,63
64,2.3068726,62,64
65,2.3523197,53,65
66,2.4371986,48,66
67,1.9267578,32,67
68,2.3009372,54,68
69,2.5781279,46,69
70,2.3203745,108,70
71,2.4397786,82,71
72,2.4027698,48,72
73,2.2301352,12,73
74,2.2547991,49,74
75,2.4056752,39,75
76,2.3477216,27,76
77,2.9816613,31,77
78,2.6564438,15,78
79,3.151622,50,79
80,2.6471257,39,80
81,2.6361945,14,81
82,2.6696014,13,82
83,2.5245252,56,83
84,2.358079,33,84
85,2.6069462,59,85
86,2.203914,79,86
87,2.8766503,32,87
88,2.460984,38,88
89,2.46314,53,89
90,2.0765243,62,90
91,2.2303393,49,91
92,3.2415483,30,92
93,1.8854877,31,93
94,2.5964627,58,94
95,2.0984771,31,95
96,2.6350183,39,96
97,3.0332825,37,97
98,2.0478017,45,98
99,2.566632,42,99
100,2.2241685,55,100
101,2.623851,99,101
102,2.453715,61,102
103,3.0172248,31,103
104,2.3402402,47,104
105,2.785824,51,105
106,2.197319,47,106
107,2.426934,61,107
108,2.7697248,30,108
