melody,note,pitch,ic,predicted_pitch,correct_pitch
hymn_007_b,1,69,0.91694,69,True
hymn_007_b,2,71,3.577245,69,False
hymn_007_b,3,73,3.2163823,69,False
hymn_007_b,4,74,3.007833,71,False
hymn_007_b,5,74,2.3223245,73,False
hymn_007_b,6,73,1.5481797,73,True
hymn_007_b,7,73,2.9612257,74,False
hymn_007_b,8,71,1.7417487,74,False
hymn_007_b,9,74,3.3002706,69,False
hymn_007_b,10,69,4.2557545,73,False
hymn_007_b,11,66,3.2491398,69,False
hymn_007_b,12,67,5.416263,69,False
hymn_007_b,13,64,4.3634467,66,False
hymn_007_b,14,62,2.8017762,66,False
hymn_007_b,15,62,3.027467,64,False
hymn_007_b,16,66,2.6539843,69,False
hymn_007_b,17,66,3.214943,69,False
hymn_007_b,18,64,2.401053,69,False
hymn_007_b,19,66,1.6475219,66,True
hymn_007_b,20,67,2.9120371,69,False
hymn_007_b,21,67,3.713974,66,False
hymn_007_b,22,66,1.2743059,66,True
hymn_007_b,23,66,2.8529997,69,False
hymn_007_b,24,66,2.7139232,69,False
hymn_007_b,25,71,5.100869,69,False
hymn_007_b,26,70,11.826669,69,False
hymn_007_b,27,71,3.512827,69,False
hymn_007_b,28,73,2.5366895,69,False
hymn_007_b,29,73,2.547925,74,False
hymn_007_b,30,71,2.38494,74,False
hymn_007_b,31,71,3.3897843,69,False
hymn_007_b,32,74,3.1841614,69,False
hymn_007_b,33,71,4.0409417,73,False
hymn_007_b,34,69,1.1912906,69,True
hymn_007_b,35,66,2.398272,69,False
hymn_007_b,36,67,1.8827341,67,True
hymn_007_b,37,67,2.2418175,66,False
hymn_007_b,38,66,1.554022,66,True
hymn_007_b,39,66,2.6462443,67,False
hymn_007_b,40,71,4.6361384,67,False
hymn_007_b,41,71,3.2615228,69,False
hymn_007_b,42,69,0.9137395,69,True
hymn_007_b,43,66,2.7806504,67,False
hymn_007_b,44,64,2.4976745,67,False
hymn_007_b,45,64,3.3061743,66,False
hymn_007_b,46,62,4.62021,66,False
hymn_007_b,47,62,0.9534237,62,True
hymn_022_b,1,68,10.236535,67,False
hymn_022_b,2,70,2.4937482,69,False
hymn_022_b,3,72,1.7506462,72,True
hymn_022_b,4,74,2.9791956,70,False
hymn_022_b,5,75,2.8714054,72,False
hymn_022_b,6,70,5.4470315,74,False
hymn_022_b,7,68,1.6622552,68,True
hymn_022_b,8,67,1.3356078,67,True
hymn_022_b,9,65,2.4115622,68,False
hymn_022_b,10,63,2.2027125,67,False
hymn_022_b,11,65,2.413007,63,False
hymn_022_b,12,67,1.7436409,67,True
hymn_022_b,13,68,1.5609742,68,True
hymn_022_b,14,65,3.0534198,67,False
hymn_022_b,15,65,2.9263542,63,False
hymn_022_b,16,67,1.7484637,67,True
hymn_022_b,17,67,2.8412247,68,False
hymn_022_b,18,65,2.217583,68,False
hymn_022_b,19,70,3.3876946,67,False
hymn_022_b,20,69,5.864709,70,False
hymn_022_b,21,75,7.503125,70,False
hymn_022_b,22,74,1.1100788,74,True
hymn_022_b,23,72,1.123207,72,True
hymn_022_b,24,70,0.7505911,70,True
hymn_022_b,25,63,6.1877055,68,False
hymn_022_b,26,68,5.1226974,63,False
hymn_022_b,27,65,2.916809,67,False
hymn_022_b,28,63,2.420949,67,False
hymn_022_b,29,63,2.1051583,65,False
hymn_022_b,30,63,3.1323543,62,False
hymn_022_b,31,63,0.24992442,63,True
hymn_025_b,1,70,3.1163917,63,False
hymn_025_b,2,70,1.7956976,70,True
hymn_025_b,3,68,2.0724669,70,False
hymn_025_b,4,67,1.257212,67,True
hymn_025_b,5,65,2.5399396,70,False
hymn_025_b,6,63,1.6791931,63,True
hymn_025_b,7,63,1.3281773,63,True
hymn_025_b,8,75,5.7704854,63,False
hymn_025_b,9,74,2.3537436,72,False
hymn_025_b,10,72,1.1154708,72,True
hymn_025_b,11,74,3.8490486,70,False
hymn_025_b,12,72,1.1532624,72,True
hymn_025_b,13,72,2.966371,70,False
hymn_025_b,14,70,0.70032775,70,True
hymn_025_b,15,70,1.9738023,68,False
hymn_025_b,16,63,5.7594857,68,False
hymn_025_b,17,70,3.0009,63,False
hymn_025_b,18,70,1.8286016,70,True
hymn_025_b,19,68,1.9452635,70,False
hymn_025_b,20,67,1.0805111,67,True
hymn_025_b,21,65,2.1993763,68,False
hymn_025_b,22,63,2.24842,67,False
hymn_025_b,23,63,1.7458892,63,True
hymn_025_b,24,75,4.8233733,63,False
hymn_025_b,25,74,1.2571455,74,True
hymn_025_b,26,72,1.2088103,72,True
hymn_025_b,27,74,3.7055051,70,False
hymn_025_b,28,72,1.1498848,72,True
hymn_025_b,29,72,3.1427417,70,False
hymn_025_b,30,70,0.70153254,70,True
hymn_025_b,31,70,1.8139777,70,True
hymn_025_b,32,70,1.8164752,70,True
