melody_id,mean_ic
hymn_007_b,3.1541588
hymn_022_b,2.954749
hymn_025_b,2.4746873
hymn_039_b,2.4125342
hymn_047_b,2.1993327
hymn_054_b,2.7341611
hymn_073_b,2.4338138
hymn_081_b,2.6650827
hymn_092_b,2.441192
hymn_119_b,1.8714359
hymn_124a_b,2.1409774
hymn_127_b,2.3375933
hymn_161_b,2.589414
hymn_163_b,2.7691853
hymn_190_b,2.278676
hymn_213_b,2.3905625
hymn_233_b,2.8460474
hymn_267_b,3.0318403
hymn_273_b,2.4919226
hymn_291_b,2.5501752
hymn_295_b,2.9940317
hymn_296_b,3.0815325
hymn_311_b,2.6287754
hymn_388b_b,2.348108
hymn_444_b,3.0294878
hymn_526_b,2.676374
hymn_542_b,2.4844365
hymn_565_b,3.618876
