melody,note,pitch,ic,predicted_pitch,correct_pitch
hymn_007_b,1,69,1.2729349,69,True
hymn_007_b,2,71,2.4657485,69,False
hymn_007_b,3,73,1.5949634,73,True
hymn_007_b,4,74,1.6542069,74,True
hymn_007_b,5,74,2.6304364,76,False
hymn_007_b,6,73,1.8182396,73,True
hymn_007_b,7,73,3.0473075,71,False
hymn_007_b,8,71,1.084831,71,True
hymn_007_b,9,74,4.8038745,69,False
hymn_007_b,10,69,4.316286,76,False
hymn_007_b,11,66,4.6095047,69,False
hymn_007_b,12,67,4.4276876,69,False
hymn_007_b,13,64,2.8707516,69,False
hymn_007_b,14,62,1.4724075,62,True
hymn_007_b,15,62,2.2634594,62,True
hymn_007_b,16,66,3.07728,62,False
hymn_007_b,17,66,3.03061,69,False
hymn_007_b,18,64,2.4413433,67,False
hymn_007_b,19,66,2.850182,62,False
hymn_007_b,20,67,0.46606115,67,True
hymn_007_b,21,67,2.2346022,69,False
hymn_007_b,22,66,3.29782,67,False
hymn_007_b,23,66,3.5488179,64,False
hymn_007_b,24,66,3.4385674,64,False
hymn_007_b,25,71,6.4718237,64,False
hymn_007_b,26,70,8.594289,69,False
hymn_007_b,27,71,1.876123,69,False
hymn_007_b,28,73,4.67378,69,False
hymn_007_b,29,73,2.113515,71,False
hymn_007_b,30,71,2.2770169,74,False
hymn_007_b,31,71,3.7428856,69,False
hymn_007_b,32,74,4.8690715,69,False
hymn_007_b,33,71,2.9830592,74,False
hymn_007_b,34,69,2.0292645,69,True
hymn_007_b,35,66,4.0918937,69,False
hymn_007_b,36,67,4.27777,66,False
hymn_007_b,37,67,3.3631246,69,False
hymn_007_b,38,66,3.223309,69,False
hymn_007_b,39,66,2.9684556,67,False
hymn_007_b,40,71,5.047411,67,False
hymn_007_b,41,71,2.5808594,69,False
hymn_007_b,42,69,1.1263673,69,True
hymn_007_b,43,66,4.290313,67,False
hymn_007_b,44,64,3.9879515,67,False
hymn_007_b,45,64,2.7664695,62,False
hymn_007_b,46,62,1.9700875,64,False
hymn_007_b,47,62,2.7313418,64,False
hymn_022_b,1,68,9.056473,67,False
hymn_022_b,2,70,1.8081498,70,True
hymn_022_b,3,72,1.284694,72,True
hymn_022_b,4,74,6.1869435,68,False
hymn_022_b,5,75,2.4094677,72,False
hymn_022_b,6,70,4.860912,72,False
hymn_022_b,7,68,1.5548286,68,True
hymn_022_b,8,67,0.62895334,67,True
hymn_022_b,9,65,1.9764842,68,False
hymn_022_b,10,63,1.1033301,63,True
hymn_022_b,11,65,2.8761435,63,False
hymn_022_b,12,67,0.9001907,67,True
hymn_022_b,13,68,1.1513098,68,True
hymn_022_b,14,65,3.2320325,70,False
hymn_022_b,15,65,2.9729893,63,False
hymn_022_b,16,67,2.521229,63,False
hymn_022_b,17,67,3.1980853,68,False
hymn_022_b,18,65,3.1983855,68,False
hymn_022_b,19,70,3.9717407,63,False
hymn_022_b,20,69,5.7884636,68,False
hymn_022_b,21,75,8.699806,70,False
hymn_022_b,22,74,1.596683,72,False
hymn_022_b,23,72,0.4850156,72,True
hymn_022_b,24,70,0.6138969,70,True
hymn_022_b,25,63,10.0134945,69,False
hymn_022_b,26,68,7.4869437,62,False
hymn_022_b,27,65,5.205537,67,False
hymn_022_b,28,63,1.7008312,63,True
hymn_022_b,29,63,1.8992842,62,False
hymn_022_b,30,63,1.3932433,63,True
hymn_022_b,31,63,1.6493078,63,True
hymn_025_b,1,70,3.6035407,63,False
