melody_idx,mean_ic,n_notes,melody_id
0,3.056487,47,hymn_007_b
1,3.0399568,31,hymn_022_b
2,2.5280108,47,hymn_025_b
3,2.532798,31,hymn_039_b
4,2.2172854,31,hymn_047_b
5,2.8774648,31,hymn_054_b
6,2.429506,31,hymn_073_b
7,2.6784894,63,hymn_081_b
8,2.541522,31,hymn_092_b
9,1.9396476,47,hymn_119_b
10,2.0906363,31,hymn_124a_b
11,2.4084134,47,hymn_127_b
12,2.8322814,31,hymn_161_b
13,3.1614795,29,hymn_163_b
14,2.3061528,47,hymn_190_b
15,2.3737202,31,hymn_213_b
16,3.0533981,31,hymn_233_b
17,3.0339048,63,hymn_267_b
18,2.5000637,31,hymn_273_b
19,2.5656092,31,hymn_291_b
20,3.0231047,31,hymn_295_b
21,3.4262292,47,hymn_296_b
22,2.7296162,47,hymn_311_b
23,2.4624183,47,hymn_388b_b
24,2.983042,31,hymn_444_b
25,2.7516859,63,hymn_526_b
26,2.4212918,31,hymn_542_b
27,3.740323,31,hymn_565_b
