melody_idx,mean_ic,n_notes,melody_id
0,2.997767,47,hymn_007_b
1,3.0169773,31,hymn_022_b
2,2.386862,47,hymn_025_b
3,2.2538247,31,hymn_039_b
4,2.1541934,31,hymn_047_b
5,2.8556955,31,hymn_054_b
6,2.3861768,31,hymn_073_b
7,2.5211277,63,hymn_081_b
8,2.4865077,31,hymn_092_b
9,1.8917935,47,hymn_119_b
10,2.328679,31,hymn_124a_b
11,2.2237153,47,hymn_127_b
12,2.6235175,31,hymn_161_b
13,2.6936445,29,hymn_163_b
14,2.2716613,47,hymn_190_b
15,2.2617512,31,hymn_213_b
16,2.8619177,31,hymn_233_b
17,2.9295115,63,hymn_267_b
18,2.525388,31,hymn_273_b
19,2.5580776,31,hymn_291_b
20,2.991317,31,hymn_295_b
21,3.1870227,47,hymn_296_b
22,2.735602,47,hymn_311_b
23,2.3455827,47,hymn_388b_b
24,2.7508512,31,hymn_444_b
25,2.795344,63,hymn_526_b
26,2.487511,31,hymn_542_b
27,3.8199,31,hymn_565_b
